operation,timestamp_us,latency_us
COMMIT,1715137832403233,1002840
COMMIT,1715137833407228,1002846
COMMIT,1715137834410300,1002347
COMMIT,1715137835412897,1002584
COMMIT,1715137836415667,1002821
COMMIT,1715137837418721,1003614
COMMIT,1715137838423483,1002179
COMMIT,1715137839426824,1002861
COMMIT,1715137840430701,1002836
COMMIT,1715137841435180,1002366
COMMIT,1715137842437706,1003093
COMMIT,1715137843444181,1002161
COMMIT,1715137844447358,1002527
COMMIT,1715137845450052,1002682
COMMIT,1715137846452991,1002400
COMMIT,1715137847455555,1002418
COMMIT,1715137848459740,1002567
COMMIT,1715137849464154,1002818
COMMIT,1715137850470348,1002884
COMMIT,1715137851474943,1003171
COMMIT,1715137852478390,1002880
COMMIT,1715137853482963,1002320
COMMIT,1715137854486435,1002004
COMMIT,1715137855489140,1002277
COMMIT,1715137856491581,1002607
COMMIT,1715137857494392,1003179
COMMIT,1715137858497879,1004542
COMMIT,1715137859502852,1003220
COMMIT,1715137860507230,1003701
COMMIT,1715137861513255,1003070
COMMIT,1715137862518664,1005444
COMMIT,1715137863526389,1004306
COMMIT,1715137864534203,1006232
COMMIT,1715137865543402,1002879
COMMIT,1715137866547503,1003388
COMMIT,1715137867553065,1003227
COMMIT,1715137868557186,1002473
COMMIT,1715137869561449,1002443
COMMIT,1715137870564544,1002886
COMMIT,1715137871568662,1003305
COMMIT,1715137872573065,1002388
COMMIT,1715137873576274,1002651
COMMIT,1715137874579857,1003010
COMMIT,1715137875583157,1003047
COMMIT,1715137876586444,1003091
COMMIT,1715137877590823,1002470
COMMIT,1715137878595009,1002938
COMMIT,1715137879599645,1002867
COMMIT,1715137880602751,1002887
COMMIT,1715137881605987,1002602
COMMIT,1715137882608882,1003164
COMMIT,1715137883614276,1002234
COMMIT,1715137884617179,1002431
COMMIT,1715137885619764,1003478
COMMIT,1715137886625343,1003697
COMMIT,1715137887631795,1004610
COMMIT,1715137888637796,1002288
COMMIT,1715137889640244,1003040
COMMIT,1715137890644417,1007331
COMMIT,1715137891652091,1006078
COMMIT,1715137892658488,1005050
COMMIT,1715137893664833,1002041
COMMIT,1715137894667016,1004886
COMMIT,1715137895674526,1002408
COMMIT,1715137896680081,1007892
COMMIT,1715137897690688,1003641
COMMIT,1715137898698795,1002449
COMMIT,1715137899701400,1003614
COMMIT,1715137900706134,1003345
COMMIT,1715137901709748,1002304
COMMIT,1715137902715831,1003648
COMMIT,1715137903719764,1002609
COMMIT,1715137904723679,1003250
COMMIT,1715137905731146,1004060
COMMIT,1715137906736458,1003748
COMMIT,1715137907741473,1003944
COMMIT,1715137908746503,1002626
COMMIT,1715137909749397,1006061
COMMIT,1715137910756055,1007587
COMMIT,1715137911763966,1004433
COMMIT,1715137912768878,1004069
COMMIT,1715137913773249,1002447
COMMIT,1715137914775873,1003937
COMMIT,1715137915780212,1004334
COMMIT,1715137916784852,1004283
COMMIT,1715137917789691,1004312
COMMIT,1715137918801200,1003062
COMMIT,1715137919804542,1004448
COMMIT,1715137920809304,1003916
COMMIT,1715137921813509,1004752
COMMIT,1715137922819894,1003921
COMMIT,1715137923825393,1003483
COMMIT,1715137924830053,1003955
COMMIT,1715137925835701,1002417
COMMIT,1715137926839300,1002137
COMMIT,1715137927841573,1003829
COMMIT,1715137928845700,1003934
COMMIT,1715137929849930,1003784
COMMIT,1715137930853995,1004695
